A&AS,advisory and assistance services
TIS,test information sheet
TISEO,"target identification set, electro-optical"
TISP,test investment strategic plan
TISS,thermal imaging sensor system
TISSS,tester independent support software system
TITL,tracker in the loop
TIV,threat impact value
TIWG,test integration working group
TIWG,test integration working group 
TJAG,the judge advocate general
TL,truckload
TL,termination liability
TLA,three letter acronym
TLA,travel and living allowance
TLAM,tomahawk land attack missile
TLD,top level demonstration manager
TLE,target location error
TLF,temporary lodging facility
TLI,three letter identifier
TLI,type line item code
TLMR,trounced land mobile radio
TLN,training line number
TLOD,technical letter of delegation
TLR,technical letter report
TLR,termination liability reserve
TLR,top level requirement
TLS,time line sheet
TLSP,transport layer security protocol
TLV,threshold limit value
TLV,threat likelihood value
TLW,termination liability worksheet
TM,test manager
TM,technical manual
TM,technical management
TM,type model
TM CHG,technical manual change number
TM IND,technical manual indenture code
TM/TO,technical manuals/technical order
TMA,technology maturity assessment
TMA,too many acronyms
TMA,traffic management analyst
TMAN,trust manager
TMAWG,threat model accreditation working group
TMC,test management council
TMC,type maintenance code
TMCR,technical manual contract requirement
TMD,theater missile defense
TMD,tactical munitions dispenser
TMD,technical management database
TMDE,test measurement and diagnostic equipment
TMDE,test measurement diagnostic equipment
TMDR,technical manual deficiency reporting
TMET,technical management evaluation team
TMFD,technical manual functional description
TMG,test management group 
TMMC,theater material management center
TMMO,technical manual management office
TMMS,technical manual management system
TMO,training and military operation
TMO,traffic management office
TMP,technical management plan
TMP,theater munitions program
TMP,target master plan
TMP,technology master process
TMPC,theater mission planning center
TMPO,terrain modeling project office
TMPODS,technical manual print on demand system
TMPODS,technical manual publish on demand system
TMRS,tactical missile record system
TMS,training management system
TMS,telephone management system
TMS,traffic management specialist
TMS,type/model/series
TMSK,temporary mission support kit
TMSS,technical munition safety study
TMSS,technical manual specification and standard
TMSS,technical manual specification standardization
TMTS,transaction monitoring tool set
TNB,tail number bin
TND,training need date
TNG,training
TNI,trusted network interpretation
TNMCM,total not mission capable maintenance
TNMCS,total non mission capable supply
TNS,technology need statement
TNSA,technical nuclear safety analysis
TNT,trinitrotoluene
TO,table of organization
TO,transportation officer
TO,travel order
TO,technical order
TOA,total obligating authority
TOA,transportation operating agency
TOA,total obligation authority
TOAI,total overall aircraft inventory
TOC,transportation operating commands
TOC,total ownership cost
TOC,table of contents
TOC,technical order compliance
TOC,theory of constraints
TOCC,type of change code
TOCR,to contract requirement
TOCU,to control unit
TOD,threat of the day
TOD,technical operations division
TOD,technical order data
TODCA,to distribution control activity
TODCA,to distribution and control activity
TODO,technical order distribution office
TOE,table of organization and equipment
TOEFL,test of english as a foreign language
TOES,telephone order entry system
TOFC,trailer on flat car
TOFC,trailers on flat cars
TOH,total annual operating time
TOIS,technical order improvement system
TOMA,technical order management agency
TOMA,technical order management activity
TOMP,technical order management plan
TOMP,tech order management plan
TOP,tester operational plan
TOPS,technical order page supplement
TOR,test of reasonableness
TOR,technical override
TOR,tentative operational requirement
TOR,terms of reference
TORA,technology obsolescence risk assessment
TORB,technical order review board
TORB,to review board
TOS,type of service
TOT,task oriented training
TOT,time oriented task
TOT-QTY-SCHED,total of all delivery schedule quantity
TOVP,to verification plan
TOVP,tech order verification plan
TOVP,technical order verification plan
TOW,tube launched optically guided
TOX,toxicology
TP,test program
TP,test plan
TP,target practice
TP,teleprocessing
TP,transportation priority
TP,traffic padding
TP,technical performance
TPA,total package approach
TPA,test process archive
TPB,test prioritization board
TPB,test priority board
TPC,total program concept
TPCE,test program cost estimate
TPD,terminal protective devices
TPD,test planning document
TPD,threat planning document
TPDL,tempest product data list
TPDL,tempest profile data list
TPEDIT,time-phase force deployment data editor
TPF,total package fielding
TPFDD,time phased force deployment data
TPFDL,time-phased force deployment list
TPI,two person integrity
TPI,test program instruction
TPIN,trading partner identification number
TPIPT,technical planning integrated product team
TPL,test planning letter
TPM,technical performance measurement
TPM,terrain profile matching
TPMR,training program management review
TPMRC,theater patient movement requirements center
TPO,technical project officer
TPO,test program outline
TPO,transportation packaging order
TPP,technical performance plan
TPP,test project plan
TPP,technical performance parameter
TPPG,test plan preparation guide
TPR,trained personnel requirement
TPR,total projected requirement
TPRA,test planning requirement analysis
TPS,test package set
TPS,test pilot school
TPS,test program software
TPS,test program set
TPSDB,test program set data base
TPT,training planning team
TPT,tactical petroleum terminal
TPTRL,time phased transportation requirement list
TPWG,test plan working group
TPWG,test planning working group
TPY,transportability
TQ,total quality
TQAE,test quality assurance evaluator
TQG,tactical quiet generator
TQM,total quality management
TQMP,total quality management plan
TQR,training quality report
TQT,task qualification training
TR,travel request
TR,test request
TR,transportation request
TR,technical report
TR,test report
TRA,technology readiness assessment
TRA,technical review authority
TRAC,tradoc analysis center
TRAC,technical expertise tradoc analysis command
TRACE,total resource and cost evaluation
TRACE,total risk assessing cost estimating
TRACS,training control system 
TRACS,training control system
TRADOC,training and doctrine command
TRAM,target recognition and attack multi-sensor
TRAMS,transportation automated management system
TRANSCOM,transportation command
TRANSEC,transmission security
TRAP,tactical receive application package
TRAP,"tanks, racks, adapters, and pylons"
